hanzi,pinyin,english,page
报仇,bàochóu,to take revenge; to avenge,4
报酬,bàochou,remuneration,4
报废,bàofèi,to discard as useless; to be written off,4
报复,bào∙fù,to retaliate,4
报社,bàoshè,newspaper,4
报亭,bàotíng,newspaper pavilion,4
报销,bàoxiāo,to reimburse,5
抱负,bàofù,ambition,5
豹,bào,leopard,5
暴风骤雨,bàofēngzhòuyǔ,hurricane,5
暴利,bàolì,huge profits,5
暴躁,bàozào,irritable,5
曝光,bàoguāng,to expose (photography); to expose (a scandal); (advertising) exposure,5
爆冷门,bào lěngmén,n. an upset (in sports); unexpected turn of events; a breakthrough; v. to pull off a coup,5
爆满,bàomǎn,to be full,5
爆竹,bàozhú,firecracker,5
卑鄙,bēibǐ,mean,5
悲哀,bēi'āi,sad,5
悲观,bēiguān,pessimistic,5
悲欢离合,bēihuānlíhé,joys and sorrows; partings and reunions,5
悲痛,bēitòng,sorrowful,5
碑,bēi,monument; stele,5
贝壳,bèiké,shell,5
备课,bèikè,lesson planning; to prepare lessons,5
备受,bèishòu,to suffer,5
备用,bèiyòng,to spare; to keep for future use,5
背面,bèimiàn,back,5
背叛,bèipàn,to betray,5
背诵,bèisòng,to recite,5
被捕,bèibǔ,to be under arrest; to be arrested,5
奔波,bēnbō,to rush about,5
奔赴,bēnfù,to rush to,5
本分,běnfèn,n. duty; adj. honest,5
本能,běnnéng,instinct,5
本钱,běnqián,capital,5
本色,běnsè,inherent qualities; distinctive character,6
本性,běnxìng,nature,6
本意,běnyì,original intention,6
本着,bēnzhe,based on; in conformity with,6
奔,bèn,to run (in a particular direction),6
笨蛋,bèndàn,fool,6
笨重,bēnzhòng,bulky,6
崩溃,bēngkuì,to collapse,6
绷,bēng,to stretch,6
绷带,bēngdài,bandage,6
蹦,bèng,to jump,6
逼近,bījìn,to approach; to close in on,6
逼迫,bīpò,to force,6
逼真,bīzhēn,lifelike,6
鼻涕,bítì,nasal mucus; snot,6
比比皆是,bǐbǐjiēshì,abounding; found everywhere,6
比不上,bǐ bu shàng,to not live up to,6
比起,bǐqǐ,to compare,6
比试,bǐshì,to compete; to have a competition,6
比喻,bǐyù,n. simile; v. to draw an analogy; to liken to,6
鄙视,bǐshì,to despise,6
必不可少,bìbùkěshǎo,essential,6
必定,bìdìng,must; have to; bound to; sure to,6
碧绿,bìlǜ,dark green,6
弊病,bìbìng,malady; drawback; disadvantage,6
弊端,bìduān,malpractice; abuse; systemic problem,6
壁画,bìhuà,mural; fresco,6
避难,bìnàn,to take refuge; to seek asylum,6
避暑,bìshǔ,to avoid the summer heat,6
边疆,biānjiāng,frontier,6
边界,biānjiè,boundary,7
边远,biānyuǎn,remote,7
编号,biānhào,numbering,7
编剧,biānjù,screenwriter,7
编排,biānpái,to arrange,7
编写,biānxiě,to write,7
编造,biānzào,to concoct; to fabricate; to compile,7
鞭策,biāncè,to spur on,7
鞭炮,biānpào,firecracker,7
贬值,biǎnzhí,to demote,7
变革,biàngé,to change (a social system or policy),7
变幻莫测,biànhuànmòcè,to be unpredictable,7
变迁,biànqiān,v. to change; n. change,7
变异,biànyì,to mutate; to vary,7
变质,biànzhì,to spoil; to go bad; to go off,7
便道,biàndào,sidewalk,7
便饭,biànfàn,potluck; a simple meal,7
便捷,biànjié,convenient,7
便利店,biànlìdiàn,convenience store,7
遍布,biànbù,to be found all over; to cover the whole area,7
辨别,biànbié,to distinguish,7
辨认,biànrèn,to identify,7
辩,biàn,to debate,7
辩护,biànhù,to defend,7
辩解,biànjiě,to justify; to provide an explanation; to defend oneself,7
辫子,biànzi,braid,7
标,biāo,"to put a mark, lable, or tag on; to label",7
标榜,biāobǎng,to flaunt,7
标本,biāoběn,specimen,7
标签,biāoqiān,label,8
标示,biāoshì,to label,8
标语,biāoyǔ,slogan,8
标致,biāo∙zhì,beautiful; handsome,8
飙升,biāoshēng,to surge (in price),8
表白,biǎobái,to express or state clearly,8
表决,biǎojué,to vote,8
表述,biǎoshù,to express,8
表率,biǎoshuài,example,8
表态,biǎotài,to declare one's position,8
表彰,biǎozhāng,to commend,8
憋,biē,v. to hold back; adj. suppressed,8
别具匠心,biéjùjiàngxīn,to show ingenuity; unique,8
别看,biékàn,don't be fooled by the fact that,8
别墅,biéshù,villa,8
别说,biéshuō,to say nothing of; not to mention; let alone,8
别提了,biétí le,Don't mention it,8
别致,biézhì,unique; unconventional,8
别扭,bièniu,awkward,8
彬彬有礼,bīnbīnyǒulǐ,refined and courteous; polite,8
滨海,bīn hǎi,coastal,8
缤纷,bīnfēn,vast and various; rich and diverse,8
冰棍儿,bīnggùnr,popsicle,8
冰山,bīngshān,iceberg,8
丙,bǐng,third; third of the ten Heavenly Stems,8
秉承,bǐngchéng,to take orders; to receive commands,8
并非,bìngfēi,not,8
并购,bìnggòu,to merge,8
并列,bìngliè,to stand side by side; to be juxtaposed,8
并行,bìngxíng,to parallel; to run side by side,8
病床,bìngchuáng,bed,9
病症,bìngzhèng,disease,9
拨,bō,to dial,9
拨款,bōkuǎn,fund,9
拨通,bōtōng,to dial,9
波及,bōjí,to spread,9
波澜,bōlán,waves; billows,9
波涛,bōtāo,waves; billows,9
波折,bōzhé,twists and turns,9
剥夺,bōduó,to deprive,9
剥削,bōxuē,v. to exploit; n. exploitation,9
伯伯,bóbo,uncle,9
伯父,bófù,uncle,9
伯母,bómǔ,aunt,9
驳回,bóhuí,to turn down; to overrule,9
脖子,bózi,neck,9
搏斗,bódòu,to fight; to wrestle,9
不定,búdìng,adj. indefinite; adv. hard to predict,9
不见得,bújiàn∙dé,not necessarily,9
不利于,búlì yú,to be harmful to,9
不慎,búshèn,careless,9
不适,búshì,unwell; indisposed; out of sorts,9
不算,bú suàn,does not count,9
不像话,búxiànghuà,outrageous,9
不屑,búxiè,to disdain; to feel it is beneath one's dignity to do something,9
不懈,búxiè,unremitting,9
不亚于,búyàyú,no less than,9
不亦乐乎,búyìlèhū,to be happy,9
不翼而飞,búyì'érfēi,to disappear without a trace; to vanish into thin air,9
不用说,búyòngshuō,needless to say,10
不正之风,búzhèngzhīfēng,unhealthy tendency,10
补给,bǔjǐ,v. to supply; n. supply,10
补救,bǔjiù,to remedy,10
捕捉,bǔzhuō,to capture,10
哺育,bǔyù,to nurture,10
不耻下问,bùchǐxiàwèn,to not feel shamed to ask one's subordinates,10
不辞而别,bùcí'érbié,to leave without saying goodbye,10
不得而知,bùdé'érzhī,unknown,10
不得已,bùdéyǐ,as a last resort; to have no choice,10
不妨,bùfáng,might as well,10
不服,bùfú,to be unwilling to obey or comply; to refuse to accept as final; to remain unconvinced by,10
不服气,bù fúqì,unwilling to concede,10
不假思索,bùjiǎsīsuǒ,without a second thought; to act without thinking,10
不解,bùjiě,to be puzzled,10
不经意,bùjīngyì,to be careless; not paying attention,10
不景气,bùjǐngqì,sluggish,10
不堪,bùkān,v. to be unbearable; adj. unbearable,10
不可避免,bùkěbìmiǎn,inevitable,10
不可思议,bùkěsīyì,incredible,10
不肯,bù kěn,not willing,10
不理,bù lǐ,to ignore,10
不了了之,bùliǎoliǎozhī,to leave a matter unsettled; to leave loose ends,10
不难,bù nán,not difficult,10
不平,bùpíng,adj. uneven; n. unfairness,10
不起眼,bùqǐyǎn,inconspicuous,10
不容,bùróng,to not tolerate,10
不如说,bùrú shuō,rather say,10
不同寻常,bùtóngxúncháng,unusual,10
不为人知,bùwéirénzhī,unknown,11
不惜,bùxī,to not hesitate,11
不相上下,bùxiāngshàngxià,to be comparable; about the same,11
不宜,bùyí,to be inappropriate; to be inappropriate,11
不已,bùyǐ,to be endless,11
不以为然,bùyǐwéirán,to not to accept as correct; to take exception to,11
不由得,bùyóude,v. can't help but; adv. unavoidably,11
不由自主,bùyóuzìzhǔ,involuntarily,11
不予,bù yǔ,to withhold; to not grant,11
不约而同,bùyuē'értóng,to agree by chance,11
不知,bùzhī,not to know,11
不知不觉,bùzībùjué,unconsciously,11
不准,bù zhǔn,to forbid; to prohibit,11
布局,bùjú,n. layout; v. to lay out,11
步伐,bùfá,pace,11
步入,bùrù,step into,11
步骤,bùzhòu,step,11
部件,bùjiàn,part,11
部署,bùshǔ,to deploy,11
猜谜,cāimí,to guess a riddle,11
猜想,cāixiǎng,to guess,11
才华,cáihuá,talent,11
财经,cáijīng,finance,11
财力,cáilì,financial resources,11
财务,cáiwù,financial affairs,11
财物,cáiwù,property,11
财政,cáizhèng,financial; (public) finance,11
裁,cái,to tailor,11
裁定,cáidìng,to rule; to decide judicially,11
裁决,cáijué,to rule; to adjudicate,11
采,cǎi,to pick,12
采集,cǎijí,to collect,12
采矿,cǎikuàng,mining,12
彩电,cǎidiàn,color TV,12
彩虹,cǎihóng,rainbow,12
彩霞,cǎixiá,pink clouds,12
菜市场,càishìchǎng,vegetable market,12
参见,cānjiàn,to see; to refer to,12
参军,cānjūn,to join the army,12
参谋,cānmóu,v. to give advice; n. (military) staff officer; adviser,12
参照,cānzhào,to refer to,12
餐桌,cānzhuō,dining table,12
残,cán,to be disabled,12
残留,cánliú,to remain,12
残缺,cánquē,to be incomplete,12
残忍,cánrěn,cruel,12
惭愧,cánkuì,ashamed,12
惨白,cǎnbái,(of face) pale; (of scenery) faint,12
惨痛,cǎntòng,bitter; agonizing,12
惨重,cǎnzhòng,heavy; grievous,12
灿烂,cànlàn,brilliant,12
苍蝇,cāngying,fly,12
沧桑,cāngsāng,vicissitudes; ups and downs,12
舱,cāng,cabin (of a plane or ship),12
藏匿,cángnì,to hide; to go into hiding,12
藏品,cángpǐn,collection,12
藏身,cángshēn,to hide oneself,12
操控,cāokòng,to control; to manipulate,12
操劳,cāoláo,to work hard,12
操心,cāoxīn,to worry,12
槽,cáo,trough; groove,13
草案,cǎo'àn,"draft (of a plan, law, etc.)",13
草坪,cǎopíng,lawn,13
侧面,cèmiàn,side,13
侧重,cèzhòng,to place emphasis on,13
测算,cèsuàn,to calculate,13
测验,cèyàn,v. to test; n. test,13
层出不穷,céngchūbùqióng,an endless stream,13
蹭,cèng,to rub,13
差错,chācuò,error,13
差额,chā'é,difference,13
插手,chāshǒu,to intervene; to meddle in,13
插图,chātú,illustration,13
插嘴,chāzuǐ,to interrupt,13
茶道,chádào,tea ceremony,13
茶馆儿,cháguǎnr,teahouse,13
查处,cháchǔ,to investigate and deal with,13
查明,chámíng,to find out,13
查找,cházhǎo,to search for,13
察觉,chájué,to become aware of,13
察看,chákàn,look at,13
诧异,chàyì,surprised,13
掺,chān,to mix,13
搀,chān,to mix,13
馋,chán,adj. greedy; v. to crave,13
禅杖,chánzhàng,a Buddhist monk's staff,13
缠,chán,to entangle,13
产,chǎn,to produce,13
产地,chǎndì,place of origin,13
产物,chǎnwù,product,13
产值,chǎnzhí,output value,14
铲,chǎn,to shovel,14
铲子,chǎnzi,shovel,14
阐述,chǎnshù,to expound,14
颤抖,chàndǒu,to tremble,14
猖狂,chāngkuáng,furious,14
长达,cháng dá,long-term,14
长期以来,chángqī yǐlái,for a long time,14
长效,chángxiào,"n., adj. long-term",14
长征,chángzhēng,Long March,14
长足,chángzú,by leaps and bounds; substantial,14
常理,chánglǐ,common sense,14
常人,chángrén,ordinary person,14
常态,chángtài,normal,14
常温,chángwēn,room temperature,14
偿还,chánghuán,to repay,14
嫦娥,Cháng'é,"Chang'e, the lady in the moon (Chinese mythology; one of the series of PRC lunar spacecraft",14
厂家,chǎngjiā,factory,14
敞开,chǎngkāi,to open wide,14
畅谈,chàngtán,to talk freely and enthusiastically,14
畅销,chàngxiāo,to sell well,14
倡议,chàngyì,v. to initiate; n. suggestion; proposal,14
抄袭,chāoxí,to plagiarize,14
钞票,chāopiào,banknote,14
超标,chāobiāo,to exceed the standard,14
超车,chāochē,to overtake (a vehicle),14
超前,chāoqián,adj. advanced; v. to advance,14
超速,chāosù,to speed; to exceed the speed limit,14
朝代,cháodài,dynasty,14
朝着,cháozhē,facing,15
嘲弄,cháonòng,to mock,15
嘲笑,cháoxiào,to laugh at,15
吵嘴,chǎozuǐ,to quarrel,15
车道,chēdào,(driving) lane,15
车祸,chēhuò,car accident,15
车间,chējiān,workshop,15
车轮,chēlún,wheel,15
车速,chēsù,speed (of a vehicle),15
车位,chēwèi,parking space,15
车厢,chēxiāng,railroad car; carriage of a train,15
车型,chēxíng,model (of a car),15
车轴,chēzhóu,axel,15
扯,chě,to pull,15
彻夜,chèyè,all night,15
撤,chè,to withdraw,15
撤换,chèhuàn,to replace,15
沉甸甸,chéndiàndiàn,heavy,15
沉淀,chéndiàn,v. to form a sediment; n. sediment,15
沉浸,chénjìn,to immerse,15
沉闷,chénmèn,(of weather) dreary; gloomy,15
沉迷,chénmí,to indulge in; to wallow in,15
沉思,chénsī,to meditate,15
沉稳,chénwěn,calm; untroubled,15
沉着,chénzhuó,calm; cool-headed,15
陈旧,chénjiù,obsolete,15
陈列,chénliè,to display,15
陈述,chénshù,to state; to assert,15
衬托,chèntuō,to set off; to serve as foil to,15
趁,chèn,taking advantage of,15
趁机,chènjī,taking the opportunity,16
趁早,chènzǎo,as early as possible,16
趁着,chènzhe,taking advantage of,16
称呼,chēnghu,"v. to call, to address; n. address term",16
称作,chēngzuò,to be called; to be known as,16
成才,chéngcái,to become a useful person; to make something of oneself,16
成家,chéngjiā,(of a man) to settle down and get married,16
成年1,chéngnián,to grow up,16
成年2,chéngnián,throughout the year,16
成千上万,chéngqiānshàngwà,tens of thousands,16
成群结队,chéngqúnjiéduì,in large numbers,16
成天,chéngtiān,all day long,16
成问题,chéngwèntí,to be a problem,16
成型,chéngxíng,to be in finished form,16
呈现,chéngxiàn,to present (a certain appearance),16
诚恳,chéngkěn,sincere; heartfelt,16
诚心诚意,chéngxīnchéngyì,earnestly and sincerely,16
诚意,chéngyì,sincerity; good faith,16
诚挚,chéngzhì,sincere,16
承包,chéngbāo,to make a legal agreement with someone to do work; to contract out,16
承载,chéngzài,to carry,16
城墙,chéngqiáng,city wall,16
乘人之危,chéngrénzhīwēi,take advantage of a person's precarious position; to strike in a time of crisis,16
盛,chéng,to flourish,16
惩处,chéngchǔ,to punish,16
惩罚,chéngfá,v. to punish; n. punishment,16
澄清,chéngqīng,v. to clarify; n. clear,16
橙汁,chéngzhī,orange juice,16
逞能,chěngnéng,to show off one's skill,16
逞强,chěngqiáng,to show off; to flaunt one's superiority,17
秤,chèng,scales,17
吃不上,chībushàng,to miss a meal,17
吃喝玩乐,chīhēwánlè,"to eat, drink and make merry",17
吃苦,chīkǔ,to suffer hardships,17
吃亏,chīkuī,to suffer losses,17
痴呆,chīdāi,stupid,17
痴迷,chīmí,to be obsessed with,17
痴心,chīxīn,infatuation,17
池塘,chítáng,pond,17
驰名,chímíng,to be well known,17
迟迟,chíchí,slowly,17
迟疑,chíyí,hesitant,17
迟早,chízǎo,sooner or later,17
持,chí,to hold,17
持久,chíjiǔ,lasting,17
持之以恒,chízhīyǐhéng,to persevere,17
尺度,chǐdù,scale,17
耻辱,chǐrǔ,shame,17
耻笑,chǐxiào,to sneer,17
赤字,chìzì,deficit,17
翅膀,chìbǎng,wing,17
冲刺,chōngcì,to sprint; to make an all-out effort,17
冲浪,chōnglàng,to surf,17
冲洗,chōngxǐ,to rinse,17
冲撞,chōngzhuàng,to collide,17
充,chōng,to charge (a battery or device),17
充当,chōngdāng,to act as,17
充沛,chōngpèi,abundant,17
充实,chōngshí,adj. rich; v. to enrich,17
重播,chóngbō,to replay,18
重叠,chóngdié,to overlap,18
重返,chóngfǎn,to return,18
重合,chónghé,to coincide,18
重申,chóngshēn,to reiterate,18
重现,chóngxiàn,to reappear,18
崇高,chónggāo,lofty,18
崇尚,chóngshàng,to advocate,18
宠,chǒng,to dote on,18
宠爱,chǒng'ài,to dote on,18
抽签,chōuqiān,to draw lots,18
抽屉,chōuti,drawer,18
抽象,chōuxiàng,abstract,18
仇,chóu,hatred,18
仇恨,chóuhèn,v. to hate; n. hate,18
仇人,chóurén,personal enemy,18
稠,chóu,thick,18
稠密,chóumì,dense,18
愁眉苦脸,chóuméikǔliǎn,to frown; to wear a worried look,18
筹,chóu,to raise funds,18
筹办,chóubàn,"to organize an event, activity, etc.",18
筹备,chóubèi,to prepare,18
筹措,chóucuò,to raise (money),18
筹划,chóuhuà,v. to plan; n. plan,18
筹集,chóují,to raise money,18
筹码,chóumǎ,chips used in a card game,18
丑恶,chǒu'è,ugly,18
丑陋,chǒulòu,ugly,18
丑闻,chǒuwén,scandal,18
瞅,chǒu,to look (in a secret and quick way),18
出版社,chūbǎnshè,publisher,19
出厂,chūchǎng,to leave the factory (after production),19
出丑,chūchǒu,to make a fool of,19
出道,chūdào,to make one's debut,19
出发点,chūfādiǎn,starting point,19
出风头,chū fēngtou,to seek the limelight,19
出境,chūjìng,to leave the country,19
出局,chūjú,to be phased out,19
出具,chūjù,to issue a document,19
出口成章,chūkǒuchéngzhāng,eloquent; articulate,19
出卖,chūmài,to sell,19
出毛病,chū máo∙bìng,to malfunction,19
出难题,chū nántí,to raise a difficult question,19
出人意料,chūrényìliào,exceeding all expectations,19
出任,chūrèn,to take office,19
出山,chūshān,to leave the mountain area,19
出身,chūshēn,v. to be born of; to come from; n. upbringing; family background,19
出示,chūshì,to show,19
出手,chūshǒu,to dispose of; to undertake a task,19
出头,chūtóu,to get out of a predicament; to appear in public,19
出土,chūtǔ,unearthed,19
出息,chūxi,future prospects,19
出血,chūxiě,to bleed,19
出演,chūyǎn,to star,19
出洋相,chū yángxiàng,to make a fool of oneself,19
出游,chūyóu,to travel,19
出众,chūzhòng,outstanding,19
出主意,chū zhǔyi,to come up with ideas; to offer advice,19
出资,chūzī,to contribute (funds),19
出自,chūzì,to come from,20
出走,chūzǒu,to leave home under force; to flee,20
初次,chūcì,first time,20
初衷,chūzhōng,original intention,20
除此之外,chúcǐzhīwài,besides,20
除去,chúqù,v. to remove; prep. except,20
除外,chúwài,to exclude,20
处方,chǔfāng,v. to prescribe; n. prescription,20
处境,chǔjìng,unfavorable situation,20
处置,chǔzhì,to dispose of,20
储备,chǔbèi,v. to reserve for future use; n. reserve,20
储蓄,chǔxù,v. to save money; n. savings,20
触v,chùdòng,to touch something and move it slightly,20
触犯,chùfàn,to violate; to go against,20
触觉,chùjué,the sense of touch,20
触摸,chùmō,to touch,20
触目惊心,chùmùjīngxīn,shocking,20
揣,chuāi,to surmise,20
揣测,chuǎicè,to speculate,20
揣摩,chuǎimó,to try to figure out,20
踹,chuài,to kick,20
川流不息,chuānliúbùxī,an unending flow,20
穿过,chuānguò,to pass through,20
穿小鞋,chuān xiǎoxié,to make things difficult for someone by abusing one's power,20
穿越,chuānyuè,to pass through,20
穿着,chuānzhuó,dress,20
传承,chuánchéng,v. to inherit; n. inheritance,20
传奇,chuánqí,legend,20
传染,chuánrǎn,to infect,20
传染病,chuánrǎnbìng,infectious disease,21
传人,chuánrén,successor; descendant,21
传授,chuánshòu,to teach,21
传闻,chuánwén,v. to gossip; n. rumor,21
船舶,chuánbó,shipping; boats,21
船桨,chuánjiǎng,paddle; oar,21
喘,chuǎn,to gasp; to pant,21
喘息,chuǎnxī,to gasp for breath; to take a breather,21
串门,chuànmén,to visit someone,21
创伤,chuāngshāng,trauma; wound,21
床位,chuángwèi,bed,21
创,chuàng,to starte (doing something); to create,21
创始人,chuàngshǐrén,founder,21
吹了,chuī le,failed,21
吹牛,chuīniú,to boast,21
吹捧,chuīpěng,to tout; to laud someone's accomplishments,21
垂,chuí,to droop,21
垂头丧气,chuítóusàngqì,to be dejected,21
捶,chuí,to hammer,21
锤子,chuízi,hammer,21
纯粹,chúncuì,pure,21
纯洁,chúnjié,adj. pure; v. to purify,21
纯朴,chúnpǔ,simple; unsophisticated,21
醇厚,chúnhòu,mellow,21
蠢,chǔn,stupid,21
戳,chuō,v. to stamp; to prick; n. stamp,21
绰号,chuòhào,nickname,21
瓷,cí,porcelain,21
瓷器,cíqì,porcelain object,21
辞,cí,to resign,21
辞呈,cíchéng,(written) resignation,22
辞去,cíqù,to resign,22
辞退,cítuì,to dismiss,22
慈善,císhàn,charitable,22
慈祥,cíxiáng,kind,22
磁带,cídài,(magnetic) tape,22
磁卡,cíkǎ,magnetic card,22
磁盘,cípán,magnetic disk,22
此起彼伏,cǐqǐbǐfú,one after another,22
次日,cìrì,the next day,22
伺候,cìhou,to serve,22
刺耳,cì'ěr,harsh; ear-piercing,22
刺骨,cìgǔ,bone-piercing; biting,22
刺绣,cìxiù,v. to embroider; n. embroidery,22
赐,cì,to bestow,22
赐教,cìjiào,to enlighten; to impart one's wisdom,22
匆匆,cōngcōng,rushed,22
匆忙,cōngmáng,hurried,22
葱,cōng,onion,22
从今以后,cóng jīn yǐhòu,from now on,22
从来不,cónglái bù,never,22
从容,cóngróng,calm,22
从容不迫,cóngróngbúpò,calm and unhurried,22
从头,cóngtóu,from the beginning,22
从未,cóngwèi,never,22
从业,cóngyè,to obtain employment; to practice a trade,22
从早到晚,cóngzǎodàowǎn,from morning to night,22
丛林,cónglín,jungle,22
凑,còu,to gather together; to happen by chance; to exploit an opportunity,22
凑合,còuhe,to improvise; to make do,23
凑巧,còuqiǎo,luckily,23
粗暴,cūbào,rough; crude,23
粗糙,cūcāo,rough; coarse,23
粗鲁,cū∙lǔ,rude,23
粗略,cūlüè,rough; sketchy,23
粗心大意,cūxīndàyì,careless; negligent,23
促成,cùchéng,to facilitate,23
簇拥,cùyōng,to cluster,23
窜,cuàn,to flee; to scurry,23
催,cuī,to urge,23
催促,cuīcù,to urge; to hasten,23
催眠,cuīmián,to hypnotize,23
摧毁,cuīhuǐ,to destroy,23
脆弱,cuìruò,fragile,23
翠绿,cuìlǜ,emerald green,23
存放,cúnfàng,to store,23
存心,cúnxīn,v. to do something deliberately; adv. on purpose,23
存折,cúnzhé,passbook; deposit book,23
搓,cuō,to twist,23
磋商,cuōshāng,to consult,23
挫折,cuòzhé,v. to experience adversity; n. setback,23
措手不及,cuòshǒubùjí,caught off guard,23
错别字,cuòbiézì,incorrectly written or mispronounced characters,23
错觉,cuòjué,illusion,23
错位,cuòwèi,to dislocate,23
错综复杂,cuòzōngfùzá,complex,23
搭乘,dāchéng,to ride as a passenger,23
搭建,dājiàn,to build; to put up (a structure),23
达标,dábiāo,to reach the standard,23
答辩,dábiàn,to reply; defend one's writing,24
打岔,dǎchà,to interrupt,24
打倒,dǎdǎo,to knock down,24
打盹儿,dǎdǔnr,to nap,24
打交道,dǎ jiāodao,to have dealings with,24
打搅,dǎjiǎo,to disturb,24
打捞,dǎlāo,to salvage,24
打量,dǎliang,to look somebody up and down,24
打猎,dǎliè,to hunt,24
打磨,dǎmó,to polish,24
打通,dǎtōng,to get through,24
打仗,dǎzhàng,to fight a battle,24
打招呼,dǎ zhāohu,to greet,24
大包大揽,dàbāodàlǎn,to take charge of everything,24
大笔,dàbǐ,pen; a large sum; your handwriting (courteous),24
大臣,dàchén,minister,24
大吃一惊,dàchīyìjīng,to be greatly surprised,24
大大咧咧,dàdaliēliē,careless,24
大地,dàdì,land,24
大队,dàduì,brigade; regiment,24
大幅度,dà fúdù,largely; by a wide margin,24
大公无私,dàgōngwúsī,selfless,24
大家庭,dàjiātíng,extended family,24
大街小巷,dàjiēxiǎoxiàng,all the streets and roads; everywhere,24
大惊小怪,dàjīngxiǎoguài,to make a fuss about nothing,24
大局,dàjú,overall situation,24
大款,dàkuǎn,tycoon; very rich person,24
大面积,dà miànjī,large area; (of a problem) on a massive scale,24
大名鼎鼎,dàmíngdǐngdǐng,famous,24
大模大样,dàmúdàyàng,in an ostentatious manner,24
大棚,dàpéng,greenhouse,25
大片,dàpiàn,blockbuster,25
大气,dàqì,atmosphere,25
大厦,dàshà,large building; mansion,25
大数据,dàshùjù,Big Data,25
大肆,dàsì,rampantly; without restraint,25
